h3_cell,lon,lat,resolution,avg_hex_area_km2,source_wind_lon,source_wind_lat,u10,v10,speed,source_chla_lon,source_chla_lat,chlor_a
830083fffffffff,79.40699702203099,77.62948240966061,3,12393.43465508816,79.0,77.5,-0.520173,0.4321921,2.247532,79.0,77.5,0.0
830084fffffffff,70.7387457598936,76.61107923311975,3,12393.43465508816,71.0,76.5,-0.27097705,0.12362708,2.1482375,71.0,76.5,0.89692175
830085fffffffff,70.45450311780779,77.72892050292592,3,12393.43465508816,70.0,77.5,-0.57253706,0.29586992,2.3014493,70.0,77.5,1.4610152
830086fffffffff,74.79291862374959,76.03210687406681,3,12393.43465508816,75.0,76.5,-0.4574825,0.2861928,2.212235,75.0,76.5,0.0
830088fffffffff,80.67660624785564,79.89017588170799,3,12393.43465508816,81.0,79.5,-0.9317984,0.27854767,2.288349,81.0,79.5,0.0
830089fffffffff,81.55351199242638,81.02456790441812,3,12393.43465508816,82.0,81.5,-1.2302023,0.101596475,2.3482676,82.0,81.5,0.0
83008afffffffff,85.41995480352716,79.1492856584131,3,12393.43465508816,85.0,79.5,-0.8436394,0.48280805,2.223708,85.0,79.5,0.0
83008bfffffffff,86.78651655936564,80.26902351781021,3,12393.43465508816,87.0,80.5,-0.9360799,0.54274184,2.279273,87.0,80.5,0.4002291
83008cfffffffff,75.11155366684227,79.4124594640472,3,12393.43465508816,75.0,79.5,-1.094019,0.006225381,2.3650317,75.0,79.5,3.150383
83008dfffffffff,75.26917079211802,80.54925894393187,3,12393.43465508816,75.0,80.5,-1.1796832,-0.11644229,2.3505774,75.0,80.5,0.0
83008efffffffff,79.97739639873183,78.75801646275113,3,12393.43465508816,80.0,78.5,-0.72032356,0.36105722,2.2140248,80.0,78.5,0.0
830090fffffffff,81.96497376834733,74.68609201088572,3,12393.43465508816,82.0,74.5,-0.41822976,0.64755446,2.1430387,82.0,74.5,4.4220963
830091fffffffff,82.62210889632593,75.79598132523924,3,12393.43465508816,83.0,75.5,-0.41260234,0.6579751,2.2400398,83.0,75.5,2.9280844
830092fffffffff,85.10450758912673,73.93370415556515,3,12393.43465508816,85.0,73.5,,,,85.0,73.5,
830093fffffffff,85.96800189785449,75.0319524050964,3,12393.43465508816,86.0,75.5,-0.25620654,0.88497233,2.2172124,86.0,75.5,2.142107
830094fffffffff,78.19032813931263,74.27694760491919,3,12393.43465508816,78.0,74.5,-0.49395046,0.44632992,2.1936445,78.0,74.5,7.6224585
830095fffffffff,78.53267480980129,75.3879361863981,3,12393.43465508816,79.0,75.5,-0.5192333,0.48344,2.259356,79.0,75.5,0.0
830096fffffffff,81.39850142724521,73.58238921064081,3,12393.43465508816,81.0,73.5,,,,81.0,73.5,
830098fffffffff,88.15278304070095,77.237577560396,3,12393.43465508816,88.0,77.5,-0.41464445,0.6973774,2.149974,88.0,77.5,1.3155292
830099fffffffff,89.56052162597729,78.34081438609951,3,12393.43465508816,90.0,78.5,-0.6417718,0.7026805,2.0494745,90.0,78.5,0.0
83009afffffffff,91.55318964705344,76.39349766903057,3,12393.43465508816,92.0,76.5,-0.044940487,0.79780376,2.1291351,92.0,76.5,0.0
83009bfffffffff,93.1705576906945,77.47689533966351,3,12393.43465508816,93.0,77.5,-0.4385581,0.7377834,2.118079,93.0,77.5,0.0
83009cfffffffff,83.39334250159806,76.91081893143021,3,12393.43465508816,83.0,76.5,-0.36665472,0.62205446,2.235377,83.0,76.5,0.0
83009dfffffffff,84.31084688605245,78.02916349681054,3,12393.43465508816,84.0,78.5,-0.641296,0.52979356,2.1676016,84.0,78.5,0.0
83009efffffffff,86.97192962631458,76.13386212450874,3,12393.43465508816,87.0,76.5,-0.24558984,0.69765,2.1829922,87.0,76.5,0.0
8300a0fffffffff,62.71632217738094,76.45633432807467,3,12393.43465508816,63.0,76.5,,,,63.0,76.5,
8300a1fffffffff,61.71955804834781,77.5429806017376,3,12393.43465508816,62.0,77.5,-0.7580563,-0.84710824,2.2434673,62.0,77.5,2.4089823
8300a2fffffffff,66.97316166673725,76.01432946915772,3,12393.43465508816,67.0,76.5,,,,67.0,76.5,
8300a3fffffffff,66.37452048135243,77.11718311561022,3,12393.43465508816,66.0,77.5,,,,66.0,77.5,
8300a4fffffffff,59.44324596448471,75.7563932570727,3,12393.43465508816,59.0,75.5,,,,59.0,75.5,
8300a5fffffffff,58.234826083283714,76.81960062168956,3,12393.43465508816,58.0,76.5,-0.21711627,-0.62815255,2.0293446,58.0,76.5,1.389258
8300a6fffffffff,63.56286847145107,75.37253687546351,3,12393.43465508816,64.0,75.5,,,,64.0,75.5,
8300a8fffffffff,64.79904272617495,79.33460040070024,3,12393.43465508816,65.0,79.5,-1.1571504,-0.73909867,2.306504,65.0,79.5,1.786476
8300a9fffffffff,63.73411647852461,80.44622399693037,3,12393.43465508816,64.0,80.5,-1.1594014,-1.3067031,2.4912765,64.0,80.5,0.54952824
8300aafffffffff,70.11234330893096,78.85209351273298,3,12393.43465508816,70.0,78.5,-1.0087026,-0.106938615,2.3066273,70.0,78.5,2.046105
8300abfffffffff,69.69259050985244,79.97964433811028,3,12393.43465508816,70.0,79.5,-1.1341302,-0.31412318,2.318676,70.0,79.5,1.2071848
8300acfffffffff,60.52950144845629,78.63067929132123,3,12393.43465508816,61.0,78.5,-1.0291005,-0.9785733,2.288414,61.0,78.5,2.8848424
8300adfffffffff,59.08529438974448,79.71718115736259,3,12393.43465508816,59.0,79.5,-1.1741023,-1.0797555,2.4051661,59.0,79.5,0.0
8300aefffffffff,65.66174153627756,78.22438513712235,3,12393.43465508816,66.0,78.5,-1.0503919,-0.5362385,2.2866023,66.0,78.5,2.7451768
8300b0fffffffff,71.18375052914621,74.39489728113479,3,12393.43465508816,71.0,74.5,-0.3798241,0.07296155,2.0652037,71.0,74.5,6.352564
8300b1fffffffff,70.97861810662512,75.49945941299148,3,12393.43465508816,71.0,75.5,-0.46026716,-0.019708306,2.0295012,71.0,75.5,0.0
8300b2fffffffff,74.65495728544445,73.81188946837123,3,12393.43465508816,75.0,73.5,-0.28810298,0.30415922,2.121131,75.0,73.5,7.5160046
8300b3fffffffff,74.71873712260677,74.91813547575924,3,12393.43465508816,75.0,74.5,-0.44482368,0.2910499,2.1522505,75.0,74.5,5.7646117
8300b4fffffffff,67.92221883418718,73.82614552561957,3,12393.43465508816,68.0,73.5,-0.20824003,-0.005793553,2.0853472,68.0,73.5,2.8438258
8300b5fffffffff,67.48294370640568,74.9169767759043,3,12393.43465508816,67.0,74.5,-0.3825392,-0.196325,1.9231876,67.0,74.5,0.0
8300b6fffffffff,71.3611760461241,73.29818103887862,3,12393.43465508816,71.0,73.5,,,,71.0,73.5,
8300c0fffffffff,76.63843136540814,85.12217813245833,3,12393.43465508816,77.0,85.5,-1.5185119,-0.18395913,2.393133,77.0,85.5,0.0
8300c1fffffffff,77.50419257480968,86.26659749239505,3,12393.43465508816,78.0,86.5,-1.5849154,-0.19486293,2.3849409,78.0,86.5,0.0
8300c2fffffffff,86.32763737143532,84.42062042701683,3,12393.43465508816,86.0,84.5,-1.488298,0.10191859,2.4086041,86.0,84.5,0.0
8300c3fffffffff,89.52424425179717,85.53756523601791,3,12393.43465508816,90.0,85.5,-1.5218186,0.2617336,2.3961906,90.0,85.5,0.0
8300c4fffffffff,66.27719671710051,84.51027727583059,3,12393.43465508816,66.0,84.5,-1.4299932,-0.57653296,2.4877026,66.0,84.5,0.0
8300c5fffffffff,64.31627739558024,85.63934644039381,3,12393.43465508816,64.0,85.5,-1.4199799,-0.66652656,2.4575891,64.0,85.5,0.0
8300c6fffffffff,76.10117967009838,83.97707093999365,3,12393.43465508816,76.0,83.5,-1.4582812,-0.18055171,2.4407842,76.0,83.5,0.0
8300c8fffffffff,104.95995706306384,87.66800580539115,3,12393.43465508816,105.0,87.5,-1.5623128,0.7173512,2.4582224,105.0,87.5,0.0
8300c9fffffffff,128.64087764856697,88.52633278075568,3,12393.43465508816,129.0,88.5,-1.1448745,1.315697,2.5213184,129.0,88.5,0.0
8300cafffffffff,114.24955908531636,86.637193569072,3,12393.43465508816,114.0,86.5,-1.3511746,1.0594082,2.4666607,114.0,86.5,0.0
8300cbfffffffff,130.96054366933055,87.40676937782706,3,12393.43465508816,131.0,87.5,-1.0512041,1.4374726,2.5011652,131.0,87.5,0.0
8300ccfffffffff,79.13120676577651,87.40850445720497,3,12393.43465508816,79.0,87.5,-1.6515627,-0.19160417,2.425378,79.0,87.5,0.0
8300cdfffffffff,83.29490520737347,88.54324603820159,3,12393.43465508816,83.0,88.5,-1.6789223,-0.0786507,2.4496684,83.0,88.5,0.0
8300cefffffffff,94.81562956376423,86.6311130879729,3,12393.43465508816,95.0,86.5,-1.582293,0.42029712,2.4098437,95.0,86.5,0.0
8300d0fffffffff,90.74514994931005,82.49477159008148,3,12393.43465508816,91.0,82.5,-1.2814294,0.3867431,2.3279383,91.0,82.5,0.0
8300d1fffffffff,93.7501537124557,83.59061159011141,3,12393.43465508816,94.0,83.5,-1.3616868,0.40753466,2.3745925,94.0,83.5,0.0
8300d2fffffffff,96.01672637244958,81.61313352629287,3,12393.43465508816,96.0,81.5,-1.064385,0.5945101,2.1952293,96.0,81.5,0.039490677
8300d3fffffffff,99.44089314514218,82.67234052999159,3,12393.43465508816,99.0,82.5,-1.1702734,0.59874755,2.2980313,99.0,82.5,0.0
8300d4fffffffff,82.68508792134588,82.15947976403709,3,12393.43465508816,83.0,82.5,-1.3699828,0.08351854,2.3843896,83.0,82.5,0.0
8300d5fffffffff,84.19968721586038,83.29263038143992,3,12393.43465508816,84.0,83.5,-1.4275566,0.091560006,2.396405,84.0,83.5,0.0
8300d6fffffffff,88.50967304027503,81.3855258742848,3,12393.43465508816,89.0,81.5,-1.1573592,0.53679425,2.4197438,89.0,81.5,2.8477244
8300d8fffffffff,110.26519226184894,84.67008649128209,3,12393.43465508816,110.0,84.5,-1.3162961,0.9799592,2.4922254,110.0,84.5,0.0
8300d9fffffffff,119.14654484857996,85.5510037247036,3,12393.43465508816,119.0,85.5,-1.1818646,1.2609303,2.5478232,119.0,85.5,0.0
8300dafffffffff,114.33732636587628,83.60156298401928,3,12393.43465508816,114.0,83.5,-1.1558509,1.1263179,2.4892023,114.0,83.5,0.0
8300dbfffffffff,122.12929161811772,84.43695959592404,3,12393.43465508816,122.0,84.5,-1.0666013,1.3924819,2.5917256,122.0,84.5,0.0
8300dcfffffffff,97.97510093030938,84.6627111133201,3,12393.43465508816,98.0,84.5,-1.4317569,0.53160256,2.4212203,98.0,84.5,0.0
8300ddfffffffff,104.2602663117414,85.69173854749435,3,12393.43465508816,104.0,85.5,-1.437686,0.7545109,2.461889,104.0,85.5,0.0
8300defffffffff,103.99867353434098,83.69830138003267,3,12393.43465508816,104.0,83.5,-1.2670534,0.75487024,2.3934271,104.0,83.5,0.0
8300e0fffffffff,48.11626428262482,83.96973654558697,3,12393.43465508816,48.0,83.5,-0.9851255,-1.2385421,2.4997861,48.0,83.5,0.0
8300e1fffffffff,42.5414764844151,84.96579290273996,3,12393.43465508816,43.0,84.5,-0.88313586,-1.4087405,2.568079,43.0,84.5,0.0
8300e2fffffffff,58.25637580159734,83.76496713023367,3,12393.43465508816,58.0,83.5,-1.1790915,-0.907203,2.444531,58.0,83.5,0.0
8300e3fffffffff,54.87232097335474,84.85078538401464,3,12393.43465508816,55.0,84.5,-1.1620932,-1.004891,2.4608192,55.0,84.5,0.0
8300e4fffffffff,43.17042684595581,83.03668036941605,3,12393.43465508816,43.0,83.5,-0.8817666,-1.3976262,2.5523777,43.0,83.5,0.0
8300e5fffffffff,37.716624629112566,83.97861089614489,3,12393.43465508816,38.0,83.5,-0.74754393,-1.5327091,2.6357765,38.0,83.5,0.0
8300e6fffffffff,52.08814669630564,82.93358665373026,3,12393.43465508816,52.0,82.5,-1.0638165,-1.1197032,2.4445224,52.0,82.5,0.0
8300e8fffffffff,41.1127984813114,86.9116280773589,3,12393.43465508816,41.0,86.5,-0.943146,-1.3800066,2.5461254,41.0,86.5,0.0
8300e9fffffffff,25.140554390900032,87.78097494963426,3,12393.43465508816,25.0,87.5,-0.5252435,-1.559659,2.4956765,25.0,87.5,0.0
8300eafffffffff,60.99786095239244,86.75935169533675,3,12393.43465508816,61.0,86.5,-1.3996863,-0.80361694,2.4560785,61.0,86.5,0.0
8300ebfffffffff,54.24998479305653,87.85591210888535,3,12393.43465508816,54.0,87.5,-1.294471,-1.0220274,2.4782512,54.0,87.5,0.0
8300ecfffffffff,34.355526604564155,85.89143933913711,3,12393.43465508816,34.0,85.5,-0.6649891,-1.5841181,2.6099076,34.0,85.5,0.0
8300edfffffffff,21.884133256963977,86.68702746531544,3,12393.43465508816,22.0,86.5,-0.3126084,-1.6674454,2.5745258,22.0,86.5,0.0
8300eefffffffff,49.71616625029092,85.90931974763743,3,12393.43465508816,50.0,85.5,-1.10836,-1.1823008,2.5256178,50.0,85.5,0.0
